timestamp,logical_clock_time,queue_length,event_type
1678137276.1031911,1,0,Internal
1678137277.108277,2,0,Internal
1678137278.113997,3,0,Internal
1678137279.120765,4,0,Received
1678137280.127511,5,0,Internal
1678137281.134891,6,1,Received
1678137282.14098,7,1,Received
1678137283.1477451,8,0,Received
1678137284.1507561,9,0,Internal
1678137285.153387,10,0,Send
1678137286.158832,11,0,Internal
1678137287.1655989,12,0,Received
1678137288.170053,13,0,Send
1678137289.175628,14,0,Internal
1678137290.182382,15,0,Internal
1678137291.1855738,16,0,Received
1678137292.191754,17,0,Send
1678137293.199599,18,0,Received
1678137294.205031,19,0,Internal
1678137295.212149,20,0,Internal
1678137296.213991,21,0,Internal
1678137297.222046,22,0,Internal
1678137298.228744,23,0,Internal
1678137299.23431,24,0,Internal
1678137300.235762,25,0,Internal
1678137301.2415402,26,0,Internal
1678137302.248523,27,0,Received
1678137303.254138,28,0,Send
1678137304.256935,29,0,Internal
1678137305.26233,30,0,Internal
1678137306.2659578,31,0,Send
1678137307.271431,32,0,Internal
1678137308.27653,33,0,Received
1678137309.281985,34,0,Received
1678137310.2881339,35,0,Received
1678137311.290543,36,0,Internal
1678137312.292929,37,0,Send
1678137313.2988968,38,0,Send
1678137314.30335,39,0,Internal
1678137315.304996,40,0,Internal
1678137316.311056,41,0,Received
1678137317.3179672,42,0,Internal
1678137318.3232791,43,0,Received
1678137319.326895,44,0,Internal
1678137320.3302112,45,0,Internal
1678137321.335587,46,0,Send
1678137322.34019,47,0,Send
1678137323.346325,48,1,Received
1678137324.352038,49,0,Received
1678137325.3551528,50,0,Send
1678137326.356976,51,0,Internal
1678137327.3601978,52,0,Internal
1678137328.361577,53,0,Received
1678137329.366627,54,0,Internal
1678137330.3728452,55,0,Send
1678137331.3789701,56,0,Internal
1678137332.381226,57,0,Internal
1678137333.3849611,58,0,Internal
1678137334.392456,59,0,Internal
1678137335.39511,60,0,Send
